 [1] " first heard contact hype building scifi blockbuster "                                                                                                                             
 [2] "now mind coupled knowledge jodie fosters involvement project thought world foster scifi blockbuster "                                                                              
 [3] " turned expectations completely nullified turned topsyturvy "                                                                                                                      
 [4] "robert zemeckis back euphoria created last film forrest gump proves mastery fusing tales adventure along endearing lines human spirit "                                            
 [5] "dont get wrong contact scifi definite difference "                                                                                                                                 
 [6] "based late carl sagan novel name story delves questions science god fact faith "                                                                                                   
 [7] "allie foster radio astronomer "                                                                                                                                                    
 [8] " spends time listening stars via ultrahuge communication dishes search intelligent life beyond solar system "                                                                      
 [9] " passion longdistance communication result younger days spent avidly front hamradio system hobbyist radio communication device latefather bought "                                 
[10] " scene particularly strengthens audiences view passion asked father whether contact latemother hamradio system father replied even powerful radio world can now "                  
[11] "allies research based seti project search extra terrestrial intelligence listens radio emissions galaxies hope finding one suggest intelligent manipulation "                      
[12] " work never scrutiny us government considers waste taxpayers money politically unviable supervisor tom skerritt pulls plug seti "                                                  
[13] "undaunted allie managed gather loyal group believers eventually found funding large private corporation "                                                                          
[14] " following months treacherous hopes research contantly pressured government changed one day caught emission seemingly intelligent repeating soundwave "                            
[15] " news find attracted hordes alien believers cultist media course government "                                                                                                      
[16] " situation became intense upon discovery pictorial plans building form transport embedded within repeating sound emission "                                                        
[17] " world join forces build transport allie desperate one go "                                                                                                                        
[18] " enrols among hopefuls represent world transport ready operation "                                                                                                                 
[19] " eligibility spot failed questioned beliefs existence god presidents spiritual advisor mcconaughey allie atheist result belief fact science refuses budge upon questioning "       
[20] " point movie plot thickens considerably romantically involved presidents spiritual advisor "                                                                                       
[21] " strong point propelled movie depth main characters played foster mcconaughey "                                                                                                    
[22] " first meeting scene obvious two sort kindred spirits worlds apart almost aspects foster person drawn science facts mcconaughey one believes faith hope power unseen "             
[23] " meeting worlds added situation put makes entire storytelling process near flawless "                                                                                              
[24] "many people read synopsis film find tad ridiculous actually immersing gives entirely different perspective one free bias preconceptions "                                          
[25] "zemeckis team screen writers done remarkable job telling tale film "                                                                                                               
[26] "contact works delving controversy rather touches thinking audience urging ponder upon questions raised film concerning fact faith whether one can actually find compromise within "
[27] " consider contact one mustsees year "                                                                                                                                              
