 [1] " standoff "                                                                                                                                                                               
 [2] " man holds woman diplomats daughter hostage embrace gun pressed head "                                                                                                                    
 [3] " cop impaired drink due wifes philandering trains gun mans nether regions threatening shoot "                                                                                             
 [4] "another cop holds gun partners temple forcing disarm "                                                                                                                                    
 [5] " scene unfolds like foursome bidding bridgeupping ante signaling tacitly going game "                                                                                                     
 [6] " second cop retrieves first cops weapon suspect lowers woman caught middle movesin slow motionto safety "                                                                                 
 [7] " intoxicated officer makes move grabbing assailants gun "                                                                                                                                 
 [8] " room turns upside shot rings cop "                                                                                                                                                       
 [9] "shot back paralyzed life "                                                                                                                                                                
[10] " young man found wrong place wrong time sent prison six years crime didnt commit "                                                                                                        
[11] "storytelling always one pedro almod vars greatest gifts live flesh gives us twisting turning compelling tale peppered wellwritten colorful characters "                                   
[12] "characters find often carefullyconstructed scenes like "                                                                                                                                  
[13] "characters played actors might know look strikingly familiar nevertheless "                                                                                                               
[14] "take ruggedly handsome victor plaza liberto rabal instance "                                                                                                                              
[15] " gets prison easily mistaken almod var favorite antonio banderas "                                                                                                                        
[16] " first meet elena francesca neri woman middle nervous shakedown looks like spice girl barbie frizzy shock orange hair later tones look sufficiently pass juliette lewis "                 
[17] "elenas husband david javier bardem cop crippled shooting wears david schwimmers bemused expression throughout "                                                                           
[18] "playing inebriated cop cheating wife jos sancho angela molinano lookalikes spring mind round excellent cast "                                                                             
[19] " credit almod vars craft five individuals cross paths intertwine credulity "                                                                                                              
[20] " live flesh begins ends live birth films contradictions come almost often contractions "                                                                                                  
[21] " two childbearings coincidence irony hefty dollop sex form key elements thoroughly entertaining film "                                                                                    
[22] "although based ruth rendell story live flesh brimming acclaimed spanish directors highheeled flourishes "                                                                                 
[23] "women times alluring repulsive extravagant hairdos animal print coats providing colorful highlights intricatelywoven drama eye bruised abusive husband mouth bloodied impromptu delivery "
[24] " prison victor learns bulgarian inmate learns love bible quoting deuteronomy thereafter unlike way david sancho refer guardians sick flock "                                              
[25] "victors prefab inheritance shambles slum resembling sarajevo "                                                                                                                            
[26] " dear son got cancer mother writes jail "                                                                                                                                                 
[27] " dies released cemetery victor reacquainted elenaredemption ultimately substituting revenge "                                                                                             
