 [1] " press screening moulin rouge stood lobby theater listening reactions friends colleagues "                                                                                          
 [2] "everyone seemed bit numb understandable sitting barrage oftenincongruous sounds images "                                                                                            
 [3] " pal mine simply said loved film hardly wait take wife see "                                                                                                                        
 [4] "another enthusiast immediately began analyze production woman flatout hated movie gave skunk eye "                                                                                  
 [5] " one fellow quietly stated ive never really fan musicals statement surprised even though story told almost completely song didnt think musical "                                    
 [6] " much going moulin rouge musical seems small term cover "                                                                                                                           
 [7] " moulin rouge kind creation sends critics scurrying big tub o adjectives search proper words describe experience "                                                                  
 [8] "australian director baz luhrmann man behind strictly ballroom romeo juliet fills heads viewers unique camerawork opulent imagery songs ranging sound music smells like teen spirit "
 [9] "sumptuous beautiful vulgar overdone moulin rogue travels looking glass ethereal stereo loaded years worth catchy tunes operates random setting "                                    
[10] "oh story well "                                                                                                                                                                     
[11] " summer love "                                                                                                                                                                      
[12] " christian ewan mcgregor penniless young writer newly arrived paris write truth beauty freedom love encounters group bohemians led henri de toulouselautrec john leguizamo "        
[13] "christian meets satine nicole kidman courtesan legendary moulin rogue world transforms black white technicolor "                                                                    
[14] " fragile vivacious dazzling redhaired woman sweeps feet without even trying "                                                                                                       
[15] "christian instantly falls love satine finds smitten well quite hindrance someone profession "                                                                                       
[16] "working bohemians moulin rogue impresario harold zidler jim broadbent christian writes opus modestly named spectacular spectacular "                                                
[17] "zidler quickly finds backer wealthy duke monroth richard roxburgh theres catch duke also wants hand fair satine "                                                                   
[18] " isnt enough satine cough cough real world probably indicates cold rarely turns anything simple movie land "                                                                        
[19] "like teetertotter moulin rogue moves ridiculous sublime "                                                                                                                           
[20] "one loveliest moments comes christine satine commune outdoors night becoming part defiantly unrealistic parisian cityscape straight book fairy tales "                              
[21] "together dance serenaded man moon alessandro safina provides vocals apparently transported classic georges m li s silent film guard nocturnal sky "                                 
[22] " scenes merely traffic everythingandthekitchensink overload "                                                                                                                       
[23] " cavorting toulouselautrec comrades gets strained times overt comedy accompanied cartoon sound effects overly reminiscent frenzied farce sitcoms like bewitched beat ground "       
[24] " course sensory overload exactly baz luhrmann mind "                                                                                                                                
[25] " never heard baz turn one actors told los angeles times "                                                                                                                           
[26] " always "                                                                                                                                                                           
[27] " "                                                                                                                                                                                  
[28] " director even sent note cast reading dare make say youve gone far "                                                                                                                
[29] " musical numbers reflect attitude "                                                                                                                                                 
[30] "one knockout piece elephant love medley incorporates beatles need love us name love dolly partons will always love elton john bernie taupins song "                                 
[31] "need "                                                                                                                                                                              
[32] " diamonds girls best friend spiced portions material girl "                                                                                                                         
[33] "luhrmanns cast offers wide variety approaches together add something messy often wonderful "                                                                                        
[34] "ewan mcgregor extremely likable christian emphasizing sincerity lovestruck poet "                                                                                                   
[35] "mcgregors singing voice robust adds vigor just right moments "                                                                                                                      
[36] " labeled ice queen nicole kidman melts characterization sizzling yet tender performance "                                                                                           
[37] " handles songs adroitly although voice sounds bit thin upper range "                                                                                                                
[38] "veteran character actor jim broadbent suitably larger life ringmaster zidler wait see perform like virgin "                                                                         
[39] " buffoonish duke richard roxburgh proves films weakest link although im sure simply following instructions "                                                                        
[40] " suspect moulin rogue will one loveitorhateit films "                                                                                                                               
[41] " didnt completely love certainly liked lot "                                                                                                                                        
[42] " course year see well movies look like xeroxes "                                                                                                                                    
[43] " moulin rogue original original even flawed one thing cherished "                                                                                                                   
