 [1] " movie stinks "                                                                                                                                        
 [2] "although professionally crafted decent performances plot bad drags film abyss "                                                                        
 [3] " knew trouble opening establishment shots see detailed closeup warrant officer paul brenners john travolta military identification card wrong color "  
 [4] " might seem like minor detail anyone spent anytime military knows active duty identification cards green dependant cards yellow "                      
 [5] " senior military officer whose uniform shirt wrinkled looks like recruit first day training "                                                          
 [6] " brenner tells suspect military doesnt right answer questions even though rights central military law well miranda decision "                          
 [7] " hard get someone familiar military check facts "                                                                                                      
 [8] "now details like overlooked underlying story held story full holes painful sit "                                                                       
 [9] " example beginning film paul brenner undercover army investigator gets gun knife battle offpost houseboat windsup killing arms dealer investigating "  
[10] " local police investigating death openly hostile military discover brenner lying killing "                                                             
[11] " instead arresting least take custody questioning release "                                                                                            
[12] "duh "                                                                                                                                                  
[13] "ultimately brenner gets assigned investigate murder possible rape commanding generals daughter young captain also assigned post "                      
[14] " brenner finds graphic sex tapes featuring generals daughter use generate suspect list begin grilling suspects "                                       
[15] " instinct suppress might potentially embarrassing "                                                                                                    
[16] "eventually brenner discovers murder related violent gang rape west point eight years earlier "                                                         
[17] " wont even go totally unbelievable rationale armys suppression horrendous crime "                                                                      
[18] " will just mention one final flaw "                                                                                                                    
[19] "brenner investigating crime occurred georgia "                                                                                                         
[20] " rape occurred west point new york "                                                                                                                   
[21] " tight totally implausible hour deadline solve case "                                                                                                  
[22] " needs discuss rape psychiatrist west point "                                                                                                          
[23] " phone doctor "                                                                                                                                        
[24] " travels via unexplained fast transport new york question psychiatrist person returns georgia miracle transport without worrying impact will deadline "
[25] " warned stay away one "                                                                                                                                
